Date;26.04.2025;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Date;DateKey;Year;YearQuarter;YearQuarterNumber;Quarter;YearMonth;YearMonthShort;YearMonthNumber;Month;MonthShort;MonthNumber;DayofWeek;DayofWeekShort;DayofWeekNumber;WorkingDay;WorkingDayNumber
01.01.2015;20150101;2015;Q1-2015;8061;Q1;01.01.2015;01.01.2015;24181;January;Jan;1;Thursday;Thu;5;0;0
02.01.2015;20150102;2015;Q1-2015;8061;Q1;01.01.2015;01.01.2015;24181;January;Jan;1;Friday;Fri;6;1;1
03.01.2015;20150103;2015;Q1-2015;8061;Q1;01.01.2015;01.01.2015;24181;January;Jan;1;Saturday;Sat;7;0;1
04.01.2015;20150104;2015;Q1-2015;8061;Q1;01.01.2015;01.01.2015;24181;January;Jan;1;Sunday;Sun;1;0;1
05.01.2015;20150105;2015;Q1-2015;8061;Q1;01.01.2015;01.01.2015;24181;January;Jan;1;Monday;Mon;2;1;2
06.01.2015;20150106;2015;Q1-2015;8061;Q1;01.01.2015;01.01.2015;24181;January;Jan;1;Tuesday;Tue;3;1;3
07.01.2015;20150107;2015;Q1-2015;8061;Q1;01.01.2015;01.01.2015;24181;January;Jan;1;Wednesday;Wed;4;1;4
08.01.2015;20150108;2015;Q1-2015;8061;Q1;01.01.2015;01.01.2015;24181;January;Jan;1;Thursday;Thu;5;1;5
09.01.2015;20150109;2015;Q1-2015;8061;Q1;01.01.2015;01.01.2015;24181;January;Jan;1;Friday;Fri;6;1;6
10.01.2015;20150110;2015;Q1-2015;8061;Q1;01.01.2015;01.01.2015;24181;January;Jan;1;Saturday;Sat;7;0;6
11.01.2015;20150111;2015;Q1-2015;8061;Q1;01.01.2015;01.01.2015;24181;January;Jan;1;Sunday;Sun;1;0;6
12.01.2015;20150112;2015;Q1-2015;8061;Q1;01.01.2015;01.01.2015;24181;January;Jan;1;Monday;Mon;2;1;7
13.01.2015;20150113;2015;Q1-2015;8061;Q1;01.01.2015;01.01.2015;24181;January;Jan;1;Tuesday;Tue;3;1;8
14.01.2015;20150114;2015;Q1-2015;8061;Q1;01.01.2015;01.01.2015;24181;January;Jan;1;Wednesday;Wed;4;1;9
15.01.2015;20150115;2015;Q1-2015;8061;Q1;01.01.2015;01.01.2015;24181;January;Jan;1;Thursday;Thu;5;1;10
16.01.2015;20150116;2015;Q1-2015;8061;Q1;01.01.2015;01.01.2015;24181;January;Jan;1;Friday;Fri;6;1;11
17.01.2015;20150117;2015;Q1-2015;8061;Q1;01.01.2015;01.01.2015;24181;January;Jan;1;Saturday;Sat;7;0;11
18.01.2015;20150118;2015;Q1-2015;8061;Q1;01.01.2015;01.01.2015;24181;January;Jan;1;Sunday;Sun;1;0;11
19.01.2015;20150119;2015;Q1-2015;8061;Q1;01.01.2015;01.01.2015;24181;January;Jan;1;Monday;Mon;2;0;11
20.01.2015;20150120;2015;Q1-2015;8061;Q1;01.01.2015;01.01.2015;24181;January;Jan;1;Tuesday;Tue;3;1;12
21.01.2015;20150121;2015;Q1-2015;8061;Q1;01.01.2015;01.01.2015;24181;January;Jan;1;Wednesday;Wed;4;1;13
22.01.2015;20150122;2015;Q1-2015;8061;Q1;01.01.2015;01.01.2015;24181;January;Jan;1;Thursday;Thu;5;1;14
23.01.2015;20150123;2015;Q1-2015;8061;Q1;01.01.2015;01.01.2015;24181;January;Jan;1;Friday;Fri;6;1;15
24.01.2015;20150124;2015;Q1-2015;8061;Q1;01.01.2015;01.01.2015;24181;January;Jan;1;Saturday;Sat;7;0;15
25.01.2015;20150125;2015;Q1-2015;8061;Q1;01.01.2015;01.01.2015;24181;January;Jan;1;Sunday;Sun;1;0;15
26.01.2015;20150126;2015;Q1-2015;8061;Q1;01.01.2015;01.01.2015;24181;January;Jan;1;Monday;Mon;2;1;16
27.01.2015;20150127;2015;Q1-2015;8061;Q1;01.01.2015;01.01.2015;24181;January;Jan;1;Tuesday;Tue;3;1;17
