OrderKey;LineNumber;OrderDate;DeliveryDate;CustomerKey;StoreKey;ProductKey;Quantity;UnitPrice;UnitCost
1000;0;01.01.2015;01.01.2015;947009;400;48;1;#N/D;36,78487313
1000;1;01.01.2015;01.01.2015;947009;400;460;1;#N/D;245.2324875
1001;0;01.01.2015;01.01.2015;1772036;430;1730;2;#N/D;25,004
1002;0;01.01.2015;01.01.2015;1518349;660;955;4;315,04;144,88
1002;1;01.01.2015;01.01.2015;1518349;660;62;7;135,75;62,43
1002;2;01.01.2015;01.01.2015;1518349;660;1050;3;499,2;229,568
1002;3;01.01.2015;01.01.2015;1518349;660;1608;1;65,994;33,648
1003;0;01.01.2015;01.01.2015;1317097;510;85;3;74,9925;34,485
1004;0;01.01.2015;01.01.2015;254117;80;128;2;132,8813232;67,74723528
1004;1;01.01.2015;01.01.2015;254117;80;2079;1;578,5237211;191,6771388
1004;2;01.01.2015;01.01.2015;254117;80;1633;1;9,65335554;4,44096054
1004;3;01.01.2015;01.01.2015;254117;80;450;1;2661,217225;881,705572
1005;0;01.01.2015;01.01.2015;1160597;390;1303;10;97,5156;44,8469112
1005;1;01.01.2015;01.01.2015;1160597;390;1705;2;3,0897048;1,4191086
1006;0;01.01.2015;01.01.2015;1895118;480;173;1;71,92;36,664
1006;1;01.01.2015;01.01.2015;1895118;480;998;5;316,8;145,68
1007;0;01.01.2015;01.01.2015;1008672;410;55;1;142,4241;47,18760638
1007;1;01.01.2015;01.01.2015;1008672;410;1692;4;3,13910415;1,5987426
1007;2;01.01.2015;01.01.2015;1008672;410;95;1;32,4303525;16,5327435
1007;3;01.01.2015;01.01.2015;1008672;410;53;1;142,4241;47,18760638
1007;4;01.01.2015;01.01.2015;1008672;410;1575;3;23,4768807;10,7972865
1007;5;01.01.2015;01.01.2015;1008672;410;1816;3;14,37072;7,32457635
1008;0;01.01.2015;01.01.2015;1576121;530;574;1;272,5;138,925
1008;1;01.01.2015;01.01.2015;1576121;530;2166;2;333,75;153,48
1008;2;01.01.2015;01.01.2015;1576121;530;1581;2;131,4;43,536
2000;0;02.01.2015;02.01.2015;1639738;530;1613;5;65,994;33,648
2001;0;02.01.2015;15.01.2015;2085372;999999;2182;2;1237,5;410,01
2002;0;02.01.2015;02.01.2015;1732602;510;1822;2;;
2002;1;02.01.2015;02.01.2015;1732602;510;49;5;149,9625;68,9625
2003;0;02.01.2015;02.01.2015;728917;300;1674;2;4,06295148;2,06925712
2003;1;02.01.2015;02.01.2015;728917;300;369;1;1451,0541;667,277296
2004;0;02.01.2015;02.01.2015;1724183;570;1654;2;155,994;51,684
2005;0;02.01.2015;02.01.2015;2054699;480;460;1;749,75;382,25
3000;0;03.01.2015;03.01.2015;1793739;500;108;3;99,7425;45,87
3000;1;03.01.2015;03.01.2015;1793739;500;1684;3;;
3001;0;03.01.2015;03.01.2015;1048105;400;1653;3;42,74299392;21,79313664
3002;0;03.01.2015;03.01.2015;1035492;390;143;2;155,4380186;79,24494336
3002;1;03.01.2015;03.01.2015;1035492;390;2098;1;246,76608;125,8069824
3002;2;03.01.2015;03.01.2015;1035492;390;130;1;103,6288;52,83514368
3003;0;03.01.2015;03.01.2015;787164;290;1164;1;239,14368;121,9234195
3004;0;03.01.2015;03.01.2015;758284;290;681;1;251,1839;115,503076
3005;0;03.01.2015;03.01.2015;1265697;570;109;3;99,7425;45,87
3005;1;03.01.2015;03.01.2015;1265697;570;327;2;223,2;113,792
3006;0;03.01.2015;03.01.2015;2003801;550;1874;2;1363,5;627,0225
3007;0;03.01.2015;03.01.2015;741423;280;1642;3;28,83674208;13,26250992
3007;1;03.01.2015;03.01.2015;741423;280;1591;4;6,30741456;2,89961712
3008;0;03.01.2015;03.01.2015;1614670;530;61;4;135,75;62,43
3008;1;03.01.2015;03.01.2015;1614670;530;181;6;103,2;47,456
3009;0;03.01.2015;11.01.2015;208950;999999;2163;2;113,8148078;58,02890468
3009;1;03.01.2015;11.01.2015;208950;999999;553;4;2041,481925;938,789628
3009;2;03.01.2015;11.01.2015;208950;999999;1427;4;483,64722;222,4146368
3010;0;03.01.2015;03.01.2015;577093;200;1583;7;6,92022024;3,18360024
3010;1;03.01.2015;03.01.2015;577093;200;157;2;730,7101571;336,0300848
3010;2;03.01.2015;03.01.2015;577093;200;1045;3;781,202688;258,8331763
5000;0;05.01.2015;05.01.2015;241935;80;94;10;59,5696365;30,3681411
5000;1;05.01.2015;05.01.2015;241935;80;1639;2;7,06350942;3,59892522
5001;0;05.01.2015;16.01.2015;290770;999999;1890;5;1413,232178;720,5097785
5002;0;05.01.2015;05.01.2015;341312;80;55;1;261,61146;86,67647258
5002;1;05.01.2015;05.01.2015;341312;80;1735;8;23,097228;11,77958628
5002;2;05.01.2015;05.01.2015;341312;80;1434;4;568,474632;261,4134838
5003;0;05.01.2015;05.01.2015;2065475;605;1634;4;5,994;3,054
5003;1;05.01.2015;05.01.2015;2065475;605;176;2;101,52;46,688
5003;2;05.01.2015;05.01.2015;2065475;605;992;2;464;153,728
5003;3;05.01.2015;05.01.2015;2065475;605;155;6;375,976;172,896
6000;0;06.01.2015;06.01.2015;1509062;650;1656;4;95,994;44,142
6000;1;06.01.2015;06.01.2015;1509062;650;1280;2;23,984;12,224
6000;2;06.01.2015;06.01.2015;1509062;650;1764;4;32,76;16,702
6000;3;06.01.2015;06.01.2015;1509062;650;1965;1;369,75;170,0325
6001;0;06.01.2015;06.01.2015;1038705;410;1582;6;7,10482668;3,26608764
6001;1;06.01.2015;06.01.2015;1038705;410;177;2;29,9621744;15,27596976
6002;0;06.01.2015;06.01.2015;1392024;560;1607;2;107,994;49,662
6003;0;06.01.2015;06.01.2015;1691713;560;1678;2;11,823;3,92
6003;1;06.01.2015;06.01.2015;1691713;560;429;2;1499,75;689,675
6004;0;06.01.2015;06.01.2015;1074024;370;1169;5;596,084032;274,1144026
6004;1;06.01.2015;06.01.2015;1074024;370;163;4;838,4143072;277,7846373
6004;2;06.01.2015;06.01.2015;1074024;370;57;1;77,01174;39,26117745
7000;0;07.01.2015;07.01.2015;737310;300;81;2;25,7058615;11,8227945
7001;0;07.01.2015;07.01.2015;510951;240;2488;1;22,80626568;11,62374048
7001;1;07.01.2015;07.01.2015;510951;240;227;1;432,086688;198,6990192
7001;2;07.01.2015;07.01.2015;510951;240;1712;7;41,49367684;19,081293
7002;0;07.01.2015;07.01.2015;500243;200;613;3;1477,0569;679,234864
7003;0;07.01.2015;07.01.2015;1524797;580;2096;2;658,125;302,6475
7004;0;07.01.2015;07.01.2015;1629889;520;1690;6;11,893;3,941
7004;1;07.01.2015;07.01.2015;1629889;520;47;6;112,4625;57,3375
7004;2;07.01.2015;07.01.2015;1629889;520;972;4;206,4;94,912
7005;0;07.01.2015;07.01.2015;363407;80;1265;1;132,4759522;67,53453312
7005;1;07.01.2015;07.01.2015;363407;80;96;5;59,8001445;30,4856523
7005;2;07.01.2015;07.01.2015;363407;80;1667;3;4,5545115;2,3186604
7006;0;07.01.2015;07.01.2015;1349132;570;1587;1;10,794;4,962
7006;1;07.01.2015;07.01.2015;1349132;570;969;2;315,04;144,88
7007;0;07.01.2015;07.01.2015;274369;90;2508;2;10,09327068;5,15310444
7007;1;07.01.2015;07.01.2015;274369;90;1556;1;596,22696;274,1792263
7007;2;07.01.2015;07.01.2015;274369;90;1168;1;1135,6704;522,2569613
8000;0;08.01.2015;08.01.2015;591707;240;1632;1;9,17230944;4,21650912
8000;1;08.01.2015;08.01.2015;591707;240;110;3;84,7571868;38,9784912
8000;2;08.01.2015;08.01.2015;591707;240;1045;1;799,454208;264,8803891
8001;0;08.01.2015;08.01.2015;1963405;660;2014;2;149,9925;68,9775
8001;1;08.01.2015;08.01.2015;1963405;660;1684;8;11,823;3,92
8001;2;08.01.2015;08.01.2015;1963405;660;1314;2;328;150,832
8001;3;08.01.2015;08.01.2015;1963405;660;1048;2;683,2;226,352
8001;4;08.01.2015;08.01.2015;1963405;660;1637;6;10,794;4,962
8001;5;08.01.2015;08.01.2015;1963405;660;1592;2;10,794;4,962
8002;0;08.01.2015;08.01.2015;1025718;360;142;3;159,29469;81,21114
8002;1;08.01.2015;08.01.2015;1025718;360;2137;1;81,1434375;41,36821875
8003;0;08.01.2015;08.01.2015;1843069;630;2499;2;42,696;21,762
8003;1;08.01.2015;08.01.2015;1843069;630;1654;4;155,994;51,684
8004;0;08.01.2015;08.01.2015;498529;270;1694;2;5,28210816;2,42691456
8004;1;08.01.2015;08.01.2015;498529;270;987;8;271,9232;90,08815616
